"school_type","ncessch","name","state_code","state_fips_code","zip_code","latitude","longitude","total_students","pct_white","pct_black","pct_hispanic","pct_asian","pct_amerindian","pct_other"
"Public","010000500871","Albertville High Sch","AL","01",35950,34.26215400,-86.20486300,1171,64.9018,2.0495,31.4261,0.5978,0.1708,0.8540
"Public","010000600872","Asbury Sch","AL","01",35951,34.36277000,-86.14224000,516,69.7674,0.1938,28.8760,0.0000,0.3876,0.7752
"Public","010000600878","Douglas High Sch","AL","01",35964,34.17815700,-86.31994700,590,74.2373,1.5254,23.0508,0.5085,0.6780,0.0000
"Public","010000600883","Kate D Smith DAR High Sch","AL","01",35747,34.53372100,-86.25368100,476,97.0588,0.6303,1.6807,0.2101,0.0000,0.4202
"Public","010000601585","Brindlee Mt High Sch","AL","01",35976,34.37640000,-86.42187600,371,93.5310,1.6173,3.7736,0.5391,0.2695,0.2695
"Public","010000700251","Hoover High Sch","AL","01",35244,33.34437000,-86.83768300,2823,57.5275,28.4803,4.5696,6.3762,0.0000,3.0464
"Public","010000701456","Spain Park High Sch","AL","01",35242,33.39271000,-86.72878500,1645,64.7416,23.5258,4.1945,5.2280,0.0000,2.3100
"Public","010000800831","Bob Jones High Sch","AL","01",35758,34.71915800,-86.74254500,1720,64.2442,21.5698,3.3140,7.8488,0.7558,2.2674
"Public","010001102096","Leeds High Sch","AL","01",35094,33.55132000,-86.57289100,474,52.3207,30.5907,11.1814,1.0549,0.2110,4.6414
"Public","010001200874","Boaz High Sch","AL","01",35957,34.21178600,-86.16391900,624,80.4487,1.6026,14.9038,1.1218,0.8013,1.1218
"Public","010001301682","Hewitt-Trussville High Sch","AL","01",35173,33.66537000,-86.58875100,1366,83.8946,11.6398,1.1713,2.1962,0.0732,1.0249
"Public","010003000003","Benjamin Russell High Sch","AL","01",35010,32.93774800,-85.95076700,974,59.0349,37.5770,2.2587,0.7187,0.0000,0.4107
"Public","010006000007","Andalusia High Sch","AL","01",36420,31.31536600,-86.47084300,512,58.7891,37.1094,0.9766,1.7578,0.0000,1.3672
"Public","010009000011","Anniston High Sch","AL","01",36207,33.66122500,-85.81999200,504,2.7778,94.8413,2.3810,0.0000,0.0000,0.0000
"Public","010010000028","Arab High Sch","AL","01",35016,34.32958200,-86.48897700,836,96.7703,0.2392,1.6746,0.9569,0.2392,0.1196
"Public","010012001472","Athens High Sch","AL","01",35611,34.80452500,-86.95066100,961,58.6889,27.4714,11.0302,1.9771,0.3122,0.5203
"Public","010018000033","Etowah High Sch","AL","01",35954,33.99544300,-86.11318500,718,76.4624,13.9276,6.1281,0.0000,0.0000,3.4819
"Public","010018502137","Saraland High Sch","AL","01",36571,30.79708800,-88.10187800,983,81.0783,15.0560,1.3225,0.5086,1.0173,1.0173
"Public","010024000045","Billingsley High Sch","AL","01",36006,32.66223800,-86.70177000,691,73.9508,23.1548,0.0000,0.4342,0.0000,2.4602
"Public","010024000046","Marbury Sch","AL","01",36022,32.61899200,-86.48323300,583,81.9897,15.6089,1.2007,0.3431,0.1715,0.6861
"Public","010024000048","Prattville High Sch","AL","01",36067,32.50053300,-86.47158500,2050,68.8780,24.4878,2.6829,2.4390,0.3415,1.1707
"Public","010024001408","Autaugaville Sch","AL","01",36003,32.43388900,-86.65931000,339,2.0649,96.1652,0.0000,0.0000,0.0000,1.7699
"Public","010027000024","Robertsdale High Sch","AL","01",36567,30.54014500,-87.70832800,1394,82.7116,10.1148,4.5194,0.7891,0.8608,1.0043
"Public","010027000100","Fairhope High Sch","AL","01",36532,30.49875100,-87.88614500,1469,86.2491,8.3050,3.1314,0.8850,0.8169,0.6127
"Public","010027000641","Gulf Shores High Sch","AL","01",36542,30.26841100,-87.67523700,873,93.5853,1.1455,2.4055,1.8328,0.3436,0.6873
"Public","010027001759","Daphne High Sch","AL","01",36526,30.63847300,-87.86376500,1235,70.2024,22.1053,3.5628,2.1862,0.4858,1.4575
"Public","010027001784","Foley High Sch","AL","01",36535,30.38172100,-87.68932100,1818,70.3520,15.9516,11.0011,0.2750,0.3850,2.0352
"Public","010027001810","Baldwin Co High Sch","AL","01",36507,30.89367100,-87.79400700,1167,67.6949,27.5921,0.7712,0.5141,1.8852,1.5424
"Public","010027002073","Spanish Fort High Sch","AL","01",36527,30.68912000,-87.85377000,1072,82.9291,10.5410,3.4515,1.1194,0.7463,1.2127
"Public","010033000087","Jess Lanier High Sch","AL","01",35022,33.36966000,-87.00044100,1015,2.3645,93.0049,4.2365,0.1970,0.0000,0.1970
"Public","010036000092","Bibb Co High Sch","AL","01",35042,32.94723300,-87.14257700,542,59.9631,37.0849,2.5830,0.0000,0.1845,0.1845
"Public","010036000099","West Blocton High Sch","AL","01",35184,33.11308600,-87.12839900,492,88.2114,10.1626,1.4228,0.0000,0.2033,0.0000
"Public","010039000141","Huffman High Sch-Magnet","AL","01",35215,33.61291100,-86.68198600,1313,0.8378,95.9634,3.0465,0.0762,0.0762,0.0000
"Public","010039000164","Jackson-Olin High Sch","AL","01",35218,33.51787000,-86.89168600,1052,0.2852,97.9087,1.8061,0.0000,0.0000,0.0000
"Public","010039000165","Parker High Sch","AL","01",35204,33.51459600,-86.82930100,830,0.6024,98.1928,0.9639,0.0000,0.0000,0.2410
"Public","010039000176","Ramsay High Sch","AL","01",35205,33.49763500,-86.79859700,856,0.7009,98.2477,0.8178,0.1168,0.1168,0.0000
"Public","010039000192","Wenonah High Sch","AL","01",35221,33.45248200,-86.88593300,775,0.3871,98.5806,0.9032,0.0000,0.0000,0.1290
"Public","010039000198","Woodlawn High Sch-Magnet","AL","01",35212,33.54223000,-86.75212300,787,0.3812,93.9009,4.5743,0.1271,0.1271,0.8895
"Public","010039001468","George Washington Carver High Sch","AL","01",35207,33.55836100,-86.82799100,791,0.6321,88.4956,10.3666,0.1264,0.0000,0.3793
"Public","010042000203","Appalachian ?Sch","AL","01",35121,33.88794800,-86.39714100,607,76.7710,0.4942,20.5931,0.1647,0.1647,1.8122
"Public","010042000206","Cleveland High Sch","AL","01",35049,33.99322400,-86.57362700,418,81.3397,0.2392,17.4641,0.2392,0.2392,0.4785
"Public","010042000208","Hayden High Sch","AL","01",35079,33.88693600,-86.76813900,923,96.7497,2.2752,0.3250,0.2167,0.0000,0.4334
"Public","010042000209","JB Pennington High Sch","AL","01",35031,34.08582900,-86.58880900,591,88.1557,0.5076,10.8291,0.0000,0.3384,0.1692
"Public","010042000210","Locust Fork High Sch","AL","01",35097,33.90837600,-86.61788600,527,94.1176,0.9488,4.9336,0.0000,0.0000,0.0000
"Public","010042000211","Southeastern Elem Sch","AL","01",35133,33.83142600,-86.58403200,719,74.1307,2.3644,22.5313,0.0000,0.1391,0.8345
"Public","010042000213","Susan Moore High Sch","AL","01",35031,34.08279600,-86.43026100,599,70.1169,0.6678,28.2137,0.1669,0.1669,0.6678
"Public","010045000216","TR Miller High Sch","AL","01",36426,31.13823900,-87.07040300,349,60.1719,38.3954,0.5731,0.5731,0.2865,0.0000
"Public","010048000218","Bullock Co High Sch","AL","01",36089,32.13070000,-85.72414800,458,0.4367,93.2314,6.3319,0.0000,0.0000,0.0000
"Public","010051000226","Greenville High Sch","AL","01",36037,31.83709200,-86.65188800,654,29.2049,68.8073,0.7645,0.6116,0.1529,0.4587
"Public","010051000229","McKenzie High Sch","AL","01",36456,31.54604600,-86.71462600,409,75.7946,21.7604,0.7335,0.0000,0.0000,1.7115
"Public","010051002144","Georgiana School","AL","01",36033,31.62684000,-86.72990500,497,30.5835,67.8068,0.2012,0.0000,0.0000,1.4085
"Public","010054000232","Alexandria High Sch","AL","01",36250,33.77416000,-85.88671100,1102,81.3975,11.7967,3.8113,0.5445,0.3630,2.0871
"Public","010054000240","Ohatchee High Sch","AL","01",36271,33.78595500,-86.00135200,466,92.7039,3.8627,2.1459,0.2146,0.4292,0.6438
"Public","010054000243","Saks High Sch","AL","01",36206,33.70216400,-85.83674100,527,52.3719,37.0019,7.0209,0.9488,0.1898,2.4668
"Public","010054000247","Weaver High Sch","AL","01",36277,33.74680200,-85.83090300,553,73.5986,18.2640,3.7975,1.2658,0.1808,2.8933
"Public","010054000250","White Plains High Sch","AL","01",36207,33.74684500,-85.68670300,453,90.7285,5.2980,3.3113,0.6623,0.0000,0.0000
"Public","010054001488","Pleasant Valley High Sch","AL","01",36265,33.88626000,-85.81728100,511,96.0861,2.3483,0.9785,0.0000,0.0000,0.5871
"Public","010054001489","Wellborn High Sch","AL","01",36201,33.65250100,-85.88200300,588,78.4014,19.0476,1.3605,0.5102,0.3401,0.3401
"Public","010060000263","Lafayette High Sch","AL","01",36862,32.89942300,-85.39661300,253,11.4625,88.1423,0.3953,0.0000,0.0000,0.0000
"Public","010060000271","Valley High Sch","AL","01",36854,32.80223200,-85.18150600,830,58.3133,37.9518,1.2048,0.6024,0.0000,1.9277
"Public","010063000274","Cedar Bluff High Sch","AL","01",35959,34.21975800,-85.60450600,642,87.0717,8.0997,0.1558,0.4673,1.8692,2.3364
"Public","010063000278","Cherokee Co High Sch","AL","01",35960,34.16384500,-85.65874900,458,80.1310,8.7336,1.0917,0.4367,8.9520,0.6550
"Public","010063000279","Gaylesville High Sch","AL","01",35973,34.27105600,-85.56003800,376,85.1064,0.5319,0.0000,0.0000,14.0957,0.2660
"Public","010063000282","Sand Rock High Sch","AL","01",35983,34.24095600,-85.76738800,848,85.2594,0.0000,2.1226,0.4717,11.7925,0.3538
"Public","010063000283","Spring Garden High Sch","AL","01",36275,33.98540600,-85.54337200,548,92.1533,1.8248,1.0949,0.1825,4.3796,0.3650
"Public","010066000261","Isabella High Sch","AL","01",36750,32.82865100,-86.78558000,646,83.7461,6.5015,9.1331,0.0000,0.0000,0.6192
"Public","010066000262","Jemison High Sch","AL","01",35085,32.96500600,-86.74845800,825,72.3636,9.0909,17.8182,0.4848,0.0000,0.2424
"Public","010066000265","Maplesville High Sch","AL","01",36750,32.80310100,-86.87835200,455,76.0440,20.4396,1.0989,0.2198,0.0000,2.1978
"Public","010066000270","Thorsby High Sch","AL","01",35171,32.91362800,-86.71633700,712,79.9157,5.4775,12.3596,0.1404,0.1404,1.9663
"Public","010066000288","Verbena High Sch","AL","01",36091,32.74895000,-86.50880900,642,78.8162,10.7477,7.4766,0.0000,0.0000,2.9595
"Public","010066001491","Chilton Co High Sch","AL","01",35045,32.82190400,-86.61270100,746,76.5416,16.3539,5.4960,0.9383,0.1340,0.5362
"Public","010069000291","Choctaw Co High Sch","AL","01",36904,32.07982400,-88.23324300,362,17.1271,81.7680,0.5525,0.2762,0.2762,0.0000
"Public","010069000297","Southern Choctaw High Sch","AL","01",36908,31.84291000,-88.31928200,394,47.9695,51.7766,0.2538,0.0000,0.0000,0.0000
"Public","010072000298","Clarke Co High Sch","AL","01",36451,31.70723200,-87.77502900,388,28.8660,70.3608,0.2577,0.0000,0.2577,0.2577
"Public","010072001493","Jackson High Sch","AL","01",36545,31.54819400,-87.88514100,625,29.7600,68.4800,0.9600,0.1600,0.1600,0.4800
"Public","010078000318","Cleburne Co High Sch","AL","01",36264,33.64813800,-85.57192400,674,89.3175,5.7864,3.8576,0.1484,0.0000,0.8902
"Public","010078000321","Ranburne High Sch","AL","01",36273,33.52337300,-85.34651900,512,98.6328,0.3906,0.5859,0.0000,0.3906,0.0000
"Public","010081000323","Kinston Sch","AL","01",36453,31.22129400,-86.16986400,515,93.5922,0.1942,2.7184,0.5825,2.5243,0.3883
"Public","010081000327","Zion Chapel High Sch","AL","01",36346,31.56726900,-86.01058300,789,93.4094,1.7744,1.2674,0.1267,1.9011,1.5209
"Public","010081001494","New Brockton High Sch","AL","01",36351,31.38025200,-85.93474400,349,81.3754,14.3266,1.1461,0.0000,2.2923,0.8596
"Public","010084000333","Cherokee High Sch","AL","01",35616,34.76566000,-87.96330400,282,86.8794,9.5745,2.8369,0.0000,0.0000,0.7092
"Public","010084000334","Colbert Co High Sch","AL","01",35646,34.69553300,-87.52442400,453,63.5762,27.5938,6.1810,0.4415,0.2208,1.9868
"Public","010084000335","Colbert Heights High Sch","AL","01",35674,34.66879500,-87.69854700,502,95.6175,1.7928,1.7928,0.3984,0.3984,0.0000
"Public","010087001766","Hillcrest High Sch","AL","01",36401,31.43117000,-86.93716600,397,8.0605,91.1839,0.5038,0.0000,0.2519,0.0000
"Public","010090001749","Central High Sch","AL","01",35136,33.00449700,-86.19945400,336,52.3810,44.0476,0.5952,0.0000,0.2976,2.6786
"Public","010093000360","Florala High Sch","AL","01",36442,31.00279400,-86.33679100,217,85.7143,14.2857,0.0000,0.0000,0.0000,0.0000
"Public","010093000361","Pleasant Home Sch","AL","01",36420,31.15838100,-86.61281600,553,92.5859,4.1591,1.2658,0.9042,0.3617,0.7233
"Public","010093000362","Red Level High Sch","AL","01",36474,31.40269000,-86.61202100,273,83.8828,12.4542,1.0989,0.3663,0.0000,2.1978
"Public","010093000363","Straughn High Sch","AL","01",36421,31.39056200,-86.41568400,405,95.5556,3.7037,0.0000,0.4938,0.0000,0.2469
"Public","010096000365","Brantley High Sch","AL","01",36009,31.59103300,-86.25555700,617,68.5575,25.9319,2.1070,0.3241,0.3241,2.7553
"Public","010096000367","Highland Home High Sch","AL","01",36041,31.95301500,-86.31351100,799,68.0851,26.5332,3.0038,0.0000,0.3755,2.0025
"Public","010096000368","Luverne High Sch","AL","01",36049,31.71346900,-86.27555400,856,52.2196,41.8224,1.0514,2.3364,0.1168,2.4533
"Public","010099000370","Cullman High Sch","AL","01",35055,34.18853800,-86.84180100,909,91.4191,0.7701,5.7206,0.8801,0.1100,1.1001
"Public","010102000374","Cold Springs High Sch","AL","01",35033,33.98199700,-87.03172100,270,99.2593,0.3704,0.3704,0.0000,0.0000,0.0000
"Public","010102000377","Fairview High Sch","AL","01",35058,34.25597700,-86.68785900,568,92.0775,1.0563,5.6338,0.1761,0.5282,0.5282
"Public","010102000379","Good Hope High Sch","AL","01",35057,34.10269400,-86.88098900,424,92.9245,0.7075,5.6604,0.4717,0.2358,0.0000
"Public","010102000380","Hanceville High Sch","AL","01",35077,34.06072500,-86.76162600,353,83.2861,7.0822,8.4986,0.2833,0.2833,0.5666
"Public","010102000381","Holly Pond High Sch","AL","01",35083,34.17689300,-86.61902500,330,93.9394,0.9091,3.3333,0.9091,0.6061,0.3030
"Public","010102000385","Vinemont High Sch","AL","01",35179,34.24357000,-86.86485000,342,94.1520,0.5848,4.3860,0.0000,0.5848,0.2924
"Public","010102000387","West Point High Sch","AL","01",35057,34.23732700,-86.96325300,560,93.5714,0.8929,3.5714,0.5357,0.7143,0.7143
"Public","010105000388","Ariton Sch","AL","01",36311,31.60249500,-85.72163100,667,81.5592,10.4948,4.1979,0.7496,0.7496,2.2489
"Public","010105000389","Dale Co High Sch","AL","01",36350,31.32065400,-85.50421400,429,71.5618,24.4755,1.3986,0.4662,0.0000,2.0979
"Public","010105000390","George W Long High Sch","AL","01",36374,31.55895500,-85.55085700,404,90.3465,7.1782,2.2277,0.0000,0.0000,0.2475
"Public","010108000394","Daleville High Sch","AL","01",36322,31.31601000,-85.71027300,536,49.8134,35.0746,10.8209,1.3060,0.3731,2.6119
"Public","010111000397","Dallas Co High Sch","AL","01",36758,32.66181400,-86.92963100,561,42.9590,55.7932,0.3565,0.0000,0.0000,0.8913
"Public","010111000402","Keith Middle-High Sch","AL","01",36767,32.29253800,-87.23571500,315,0.0000,98.7302,1.2698,0.0000,0.0000,0.0000
"Public","010111000406","Southside High Sch","AL","01",36701,32.35776000,-86.97121100,386,0.5181,99.4819,0.0000,0.0000,0.0000,0.0000
"Public","010114000411","Collinsville High Sch","AL","01",35961,34.25617700,-85.86656800,902,30.8204,4.7672,53.4368,0.0000,9.3126,1.6630
"Public","010114000415","Fyffe High Sch","AL","01",35971,34.39138800,-85.97515400,974,73.3060,0.2053,4.8255,0.3080,20.3285,1.0267
"Public","010114000416","Geraldine Sch","AL","01",35974,34.35103700,-86.00318600,1215,60.7407,0.7407,18.1893,0.1646,19.5885,0.5761
"Public","010114000419","Ider Sch","AL","01",35981,34.71218300,-85.67540100,770,82.7273,0.3896,1.5584,0.0000,15.1948,0.1299
"Public","010114000422","Plainview Sch","AL","01",35986,34.48364900,-85.82186100,1167,77.2922,0.4284,10.8826,0.1714,10.1971,1.0283
"Public","010114000424","Sylvania Sch","AL","01",35988,34.56436000,-85.81422900,923,72.1560,0.5417,13.0011,0.2167,13.3261,0.7584
"Public","010114000425","Valley Head High Sch","AL","01",35989,34.56411700,-85.61412800,469,59.9147,1.7058,28.7846,0.0000,8.3156,1.2793
"Public","010114001860","Crossville High Sch","AL","01",35962,34.28874600,-85.99605400,537,34.8231,0.3724,57.3557,0.0000,7.2626,0.1862
"Public","010117000426","Austin High Sch","AL","01",35601,34.57993900,-87.00774300,1420,43.4507,35.9155,17.4648,1.7606,0.1408,1.2676
"Public","010117000429","Decatur High Sch","AL","01",35601,34.59477400,-86.97402100,963,48.5981,31.4642,17.4455,1.0384,0.4154,1.0384
"Public","010120000148","Demopolis High Sch","AL","01",36732,32.49752500,-87.84474700,663,47.0588,48.1146,3.0166,0.9050,0.4525,0.4525
"Public","010123000445","Dothan High Sch","AL","01",36301,31.20896300,-85.39446300,1241,35.6970,59.0653,3.4649,0.7252,0.0806,0.9670
"Public","010123001501","Northview High Sch","AL","01",36303,31.26755000,-85.38140900,1246,44.7833,47.6726,4.1734,1.9262,0.1605,1.2841
"Public","010126000461","Elba High Sch","AL","01",36323,31.42744900,-86.10328700,315,46.9841,45.7143,4.4444,0.0000,0.3175,2.5397
"Public","010129000463","Elmore Co High Sch","AL","01",36024,32.63383000,-86.02956600,472,84.9576,13.3475,0.4237,0.0000,0.6356,0.6356
"Public","010129000465","Holtville High Sch","AL","01",36022,32.63556100,-86.32607100,495,88.6869,8.2828,1.2121,0.4040,0.0000,1.4141
"Public","010129000468","Stanhope Elmore High Sch","AL","01",36054,32.49423200,-86.36243800,1087,50.4140,41.3063,4.3238,1.4719,0.3680,2.1159
"Public","010129000471","Wetumpka High Sch","AL","01",36092,32.55249300,-86.22248600,1151,64.3788,30.2346,2.2589,1.1295,0.1738,1.8245
"Public","010132000476","Enterprise High Sch","AL","01",36330,31.32924000,-85.87460100,2162,65.7724,20.3978,8.2794,1.6651,0.5550,3.3302
"Public","010135000484","Escambia Co High Sch","AL","01",36502,31.00646400,-87.48660900,513,15.2047,74.2690,0.5848,0.5848,8.9669,0.3899
"Public","010135000487","Flomaton High Sch","AL","01",36441,31.00600600,-87.26988300,439,76.5376,15.4897,1.1390,0.0000,6.6059,0.2278
"Public","010135000492","W S Neal High Sch","AL","01",36426,31.09081100,-87.05533900,403,66.9975,29.2804,1.2407,0.0000,1.7370,0.7444
"Public","010138000496","Gaston High Sch","AL","01",35901,34.06831400,-85.92684000,581,85.5422,11.1876,1.2048,0.1721,0.5164,1.3769
"Public","010138000498","Glencoe High Sch","AL","01",35905,33.96774500,-85.93537800,335,97.9104,1.1940,0.0000,0.8955,0.0000,0.0000
"Public","010138000505","Sardis High Sch","AL","01",35956,34.17626400,-86.12286100,741,94.1970,0.5398,4.4534,0.5398,0.1350,0.1350
"Public","010138000506","Southside High Sch","AL","01",35907,33.92115400,-86.03340700,892,92.1525,3.6996,2.2422,1.4574,0.1121,0.3363
"Public","010138000507","West End High Sch","AL","01",35990,34.06343000,-86.30230300,389,95.6298,0.7712,3.3419,0.0000,0.0000,0.2571
"Public","010138001662","Hokes Bluff High Sch","AL","01",35903,34.01297800,-85.86936900,415,98.3133,0.7229,0.4819,0.0000,0.0000,0.4819
"Public","010141000511","Eufaula High Sch","AL","01",36027,31.91929600,-85.13909800,748,41.0428,54.2781,3.2086,0.9358,0.0000,0.5348
"Public","010144000516","Fairfield High Preparatory Sch","AL","01",35064,33.49121900,-86.90828000,855,0.4678,98.2456,1.2865,0.0000,0.0000,0.0000
"Public","010147000521","Berry High Sch","AL","01",35546,33.66295300,-87.59897400,269,95.1673,4.0892,0.3717,0.0000,0.0000,0.3717
"Public","010147000525","Hubbertville Sch","AL","01",35555,33.82952200,-87.74228100,411,98.5401,0.9732,0.0000,0.0000,0.0000,0.4866
"Public","010147001787","Fayette Co High Sch","AL","01",35555,33.70308400,-87.82178500,434,71.6590,27.1889,0.4608,0.4608,0.0000,0.2304
"Public","010156000538","Fort Payne High Sch","AL","01",35967,34.48719400,-85.67361200,873,62.1993,4.9255,29.6678,0.2291,0.0000,2.9782
"Public","010159000541","Belgreen High Sch","AL","01",35653,34.47485900,-87.86531100,445,87.1910,0.2247,11.6854,0.0000,0.2247,0.6742
"Public","010159000544","Phil Campbell High Sch","AL","01",35581,34.35007900,-87.70685300,368,95.6522,0.0000,2.4457,0.0000,0.0000,1.9022
"Public","010159000545","Red Bay High Sch","AL","01",35582,34.43535900,-88.13813900,807,92.1933,1.8587,3.0979,0.9913,0.0000,1.8587
"Public","010159000548","Vina High Sch","AL","01",35593,34.37430200,-88.05926900,324,96.6049,1.5432,0.3086,0.3086,0.3086,0.9259
"Public","010159001869","Tharptown High Sch","AL","01",35654,34.52577100,-87.61912600,305,70.8197,1.6393,26.5574,0.3279,0.3279,0.3279
"Public","010162001824","Gadsden City High Sch","AL","01",35904,33.99501000,-86.03569100,1535,38.6971,51.0098,7.8176,1.3029,0.2606,0.9121
"Public","010164000567","Geneva High Sch","AL","01",36340,31.04257400,-85.87983500,340,83.8235,12.9412,0.8824,0.2941,0.5882,1.4706
"Public","010166000570","Geneva Co High Sch","AL","01",36344,31.09583200,-85.70015300,214,74.2991,18.6916,4.2056,0.0000,0.9346,1.8692
"Public","010166000571","Samson High Sch","AL","01",36477,31.11761900,-86.05015500,230,77.8261,15.6522,6.5217,0.0000,0.0000,0.0000
"Public","010166001519","Slocomb High Sch","AL","01",36375,31.09785600,-85.60266400,381,80.5774,11.8110,6.2992,0.5249,0.0000,0.7874
"Public","010168000576","Greene Co High Sch","AL","01",35462,32.84796000,-87.90003500,393,0.0000,98.9822,0.0000,0.5089,0.0000,0.5089
"Public","010169000582","Guntersville High Sch","AL","01",35976,34.32001500,-86.31372100,587,79.5571,8.8586,5.1107,1.7036,0.3407,4.4293
"Public","010171000588","Hale Co High Sch","AL","01",35474,32.99897000,-87.62055000,535,66.9159,30.0935,1.8692,0.0000,0.3738,0.7477
"Public","010171000592","Sunshine High Sch","AL","01",36765,32.56484300,-87.58023800,222,0.4505,99.5495,0.0000,0.0000,0.0000,0.0000
"Public","010171002162","Greensboro High Sch","AL","01",36744,32.70713200,-87.58901600,348,1.1494,98.5632,0.0000,0.0000,0.0000,0.2874
"Public","010172000594","Haleyville High Sch","AL","01",35565,34.22532800,-87.60693700,513,88.4990,1.7544,7.2125,0.7797,0.3899,1.3645
"Public","010173000599","Hartselle High Sch","AL","01",35640,34.45437400,-86.92358200,962,90.8524,6.1331,1.2474,0.8316,0.5198,0.4158
"Public","010174000600","Abbeville High Sch","AL","01",36310,31.58210100,-85.27821700,410,31.4634,64.6341,1.7073,0.4878,0.0000,1.7073
"Public","010176000608","Homewood High Sch","AL","01",35209,33.46047500,-86.79052800,1105,58.8235,27.6923,8.5973,3.4389,0.0905,1.3575
"Public","010177000611","Ashford High Sch","AL","01",36312,31.18374300,-85.23222000,712,72.8933,22.8933,1.8258,0.2809,0.2809,1.8258
"Public","010177000612","Cottonwood High Sch","AL","01",36320,31.05657200,-85.30155700,725,83.0345,13.1034,1.7931,0.2759,0.0000,1.7931
"Public","010177000614","Houston Co High Sch","AL","01",36319,31.29336000,-85.11364100,337,51.6320,41.8398,5.0445,0.0000,0.5935,0.8902
"Public","010177000615","Rehobeth High Sch","AL","01",36301,31.12087000,-85.45928200,718,85.9331,9.0529,3.3426,0.5571,0.1393,0.9749
"Public","010177000617","Wicksburg High Sch","AL","01",36352,31.22561600,-85.63331300,960,89.1667,4.8958,4.3750,0.2083,0.2083,1.1458
"Public","010180000619","SR Butler High Sch","AL","01",35816,34.72635800,-86.61780500,583,12.6930,58.1475,23.3276,1.3722,0.3431,4.1166
"Public","010180000629","Virgil Grissom High Sch","AL","01",35802,34.66182500,-86.53812900,1742,73.1917,13.6051,5.6831,4.3054,0.5741,2.6406
"Public","010180000631","Huntsville High Sch","AL","01",35801,34.71347400,-86.58346200,1883,70.7913,19.8088,4.0361,2.2836,0.7435,2.3367
"Public","010180000633","JO Johnson High Sch","AL","01",35810,34.79934000,-86.60941500,592,2.3649,91.0473,4.3919,0.1689,0.1689,1.8581
"Public","010180000636","Lee High Sch","AL","01",35811,34.75491200,-86.57986500,765,15.5556,75.4248,2.7451,0.1307,0.5229,5.6209
"Public","010180001374","New Century Tech Demo High Sch","AL","01",35811,34.75491200,-86.57986500,395,41.2658,38.7342,8.8608,4.3038,0.5063,6.3291
"Public","010180001651","Columbia High School","AL","01",35806,34.72319200,-86.69925900,758,18.0739,64.3799,7.9156,2.2427,1.3193,6.0686
"Public","010183000662","North Sand Mt Sch","AL","01",35979,34.84875600,-85.62160800,706,87.9603,0.2833,2.2663,0.0000,9.2068,0.2833
"Public","010183000667","Section High Sch","AL","01",35771,34.58128200,-85.97915000,550,78.9091,0.5455,2.7273,0.1818,16.5455,1.0909
"Public","010183000668","Skyline High Sch","AL","01",35768,34.82174700,-86.11448500,482,91.2863,0.0000,4.7718,0.0000,3.9419,0.0000
"Public","010183000671","Woodville High Sch","AL","01",35776,34.62281000,-86.27105900,541,92.2366,1.4787,2.2181,0.3697,2.4030,1.2939
"Public","010183001532","Pisgah High Sch","AL","01",35765,34.68187100,-85.84409800,648,77.3148,0.1543,0.6173,0.3086,21.6049,0.0000
"Public","010183001751","North Jackson High Sch","AL","01",35772,34.90071400,-85.79266700,449,77.5056,12.2494,4.2316,0.0000,4.4543,1.5590
"Public","010186000673","Jacksonville High Sch","AL","01",36265,33.78809300,-85.77841300,703,64.7226,30.2987,1.5647,1.1380,0.4267,1.8492
"Public","010189000678","Walker High Sch","AL","01",35501,33.83486700,-87.26533700,836,75.0000,19.1388,3.3493,0.5981,0.0000,1.9139
"Public","010192000469","Clay-Chalkville High Sch","AL","01",35126,33.69542100,-86.60225300,1361,34.2395,59.9559,3.8942,0.5878,0.1470,1.1756
"Public","010192000698","Corner High Sch","AL","01",35062,33.75806900,-86.96426600,538,98.3271,0.3717,0.5576,0.1859,0.3717,0.1859
"Public","010192000702","Erwin High Sch","AL","01",35215,33.65859600,-86.70286800,846,1.6548,95.7447,2.2459,0.0000,0.0000,0.3546
"Public","010192000704","Fultondale High Sch","AL","01",35217,33.63230600,-86.77625700,675,42.5185,34.6667,20.1481,0.4444,0.1481,2.0741
"Public","010192000706","Gardendale High Sch","AL","01",35071,33.64543800,-86.81255700,1077,71.8663,24.7911,2.1356,0.6500,0.0000,0.5571
"Public","010192000717","Hueytown High Sch","AL","01",35023,33.42934000,-87.03291100,1080,49.3519,44.2593,4.9074,0.2778,0.1852,1.0185
"Public","010192000725","McAdory High Sch","AL","01",35111,33.33096900,-87.00077900,1003,45.9621,45.3639,7.1785,0.2991,0.0997,1.0967
"Public","010192000728","Mortimer Jordan High Sch","AL","01",35091,33.78640200,-86.76481300,764,90.9686,7.0681,0.9162,0.2618,0.3927,0.3927
"Public","010192000732","Oak Grove High Sch","AL","01",35023,33.46971100,-87.15971300,865,95.3757,3.2370,0.5780,0.0000,0.6936,0.1156
"Public","010192000734","Pinson Valley High Sch","AL","01",35126,33.70476100,-86.66837200,1084,47.2325,39.0221,13.3764,0.0000,0.0000,0.3690
"Public","010192000737","Pleasant Grove High Sch","AL","01",35127,33.49750100,-86.99720300,524,22.5191,75.7634,1.3359,0.1908,0.0000,0.1908
"Public","010192000744","Shades Valley High Sch","AL","01",35210,33.54184100,-86.66742300,1352,28.9941,60.2811,6.9527,2.3669,0.0740,1.3314
